Yield Curve Name;Date;3M;6M;1Y;3Y;5Y;7Y;10Y;30Y
ChinaBond Government Bond Yield Curve;2019-01-02;2.5237;2.5497;2.5014;2.7859;2.9466;3.0876;3.1734;3.6756
ChinaBond Government Bond Yield Curve;2019-01-03;2.4709;2.5001;2.5017;2.7776;2.8965;3.1031;3.1410;3.6806
ChinaBond Government Bond Yield Curve;2019-01-04;2.3251;2.4370;2.4525;2.7922;2.8850;3.1040;3.1513;3.7007
ChinaBond Government Bond Yield Curve;2019-01-07;2.3409;2.4534;2.4026;2.7917;2.9303;3.1272;3.1507;3.7007
ChinaBond Government Bond Yield Curve;2019-01-08;2.3116;2.3501;2.3528;2.7530;2.8796;3.0836;3.1211;3.6757
ChinaBond Government Bond Yield Curve;2019-01-09;2.3439;2.4000;2.3777;2.7604;2.8745;3.1010;3.1106;3.7007
ChinaBond Government Bond Yield Curve;2019-01-10;2.3520;2.3861;2.3627;2.7736;2.8954;3.1050;3.1006;3.7182
ChinaBond Government Bond Yield Curve;2019-01-11;2.2684;2.3864;2.4065;2.7920;2.9100;3.0939;3.1058;3.7157
ChinaBond Government Bond Yield Curve;2019-01-14;2.3013;2.3859;2.4260;2.7927;2.9496;3.1075;3.1297;3.7257
ChinaBond Government Bond Yield Curve;2019-01-15;2.2992;2.3874;2.4345;2.7922;2.9484;3.1219;3.1383;3.7407
ChinaBond Government Bond Yield Curve;2019-01-16;2.3198;2.3856;2.3600;2.7457;2.9047;3.0776;3.0745;3.6779
ChinaBond Government Bond Yield Curve;2019-01-17;2.3078;2.3748;2.3500;2.6873;2.8983;3.0573;3.0760;3.6904
ChinaBond Government Bond Yield Curve;2019-01-18;2.2924;2.4129;2.3498;2.7061;2.9410;3.0791;3.0910;3.7105
ChinaBond Government Bond Yield Curve;2019-01-21;2.3453;2.3860;2.4209;2.7202;2.9499;3.0828;3.1037;3.7104
ChinaBond Government Bond Yield Curve;2019-01-22;2.3256;2.3990;2.3999;2.7225;2.9437;3.0699;3.1071;3.7154
